Dong,사업_사업체및종사자밀도_Period,사업_사업체및종사자밀도_Gu,사업_사업체및종사자밀도_No. of establishments,사업_사업체및종사자밀도_No. of employee,사업_사업체및종사자밀도_Average worker,사업_사업체및종사자밀도_Establishments density,사업_사업체및종사자밀도_종사자밀도,사업_사업체및종사자밀도_Population density,사업_사업체및종사자밀도_종사자밀도비
Hwanghak-dong,2013.0,Jung-gu,2055.0,5702.0,2.77,6227.0,17279.0,39600.0,43.63
Jungnim-dong,2013.0,Jung-gu,1045.0,8292.0,7.93,2177.0,17275.0,20717.0,83.39
Sindang-dong,2013.0,Jung-gu,12219.0,26112.0,2.14,22216.0,47476.0,16275.0,291.72
Dasan-dong,2013.0,Jung-gu,1119.0,7855.0,7.02,2194.0,15402.0,32441.0,47.48
Yaksu-dong,2013.0,Jung-gu,834.0,3478.0,4.17,1738.0,7246.0,40140.0,18.05
Cheonggu-dong,2013.0,Jung-gu,702.0,3274.0,4.66,2065.0,9629.0,46468.0,20.72
Donghwa-dong,2013.0,Jung-gu,943.0,3294.0,3.49,3627.0,12669.0,46481.0,27.26
Huam-dong,2013.0,Yongsan-gu,819.0,5239.0,6.4,952.0,6092.0,23277.0,26.17
Yongsan 2-ga-dong,2013.0,Yongsan-gu,511.0,2934.0,5.74,261.0,1497.0,6911.0,21.66
Namyeong-dong,2013.0,Yongsan-gu,1612.0,20356.0,12.63,1355.0,17106.0,7094.0,241.13
Wonhyoro 2(i)-dong,2013.0,Yongsan-gu,1190.0,6812.0,5.72,1676.0,9594.0,22269.0,43.08
Hyochang-dong,2013.0,Yongsan-gu,535.0,2603.0,4.87,1216.0,5916.0,25891.0,22.85
Yongmun-dong,2013.0,Yongsan-gu,637.0,1600.0,2.51,2275.0,5714.0,46550.0,12.28
Ichon 1(il)-dong,2013.0,Yongsan-gu,805.0,3486.0,4.33,281.0,1219.0,9859.0,12.36
Ichon 2(i)-dong,2013.0,Yongsan-gu,337.0,876.0,2.6,276.0,718.0,8241.0,8.71
Itaewon 1(il)-dong,2013.0,Yongsan-gu,1584.0,7121.0,4.5,2779.0,12493.0,16919.0,73.84
Itaewon 2(i)-dong,2013.0,Yongsan-gu,597.0,2215.0,3.71,694.0,2576.0,13790.0,18.68
Seobinggo-dong,2013.0,Yongsan-gu,405.0,4616.0,11.4,145.0,1649.0,5079.0,32.46
Bogwang-dong,2013.0,Yongsan-gu,772.0,2091.0,2.71,1087.0,2945.0,25297.0,11.64
Cheongpa-dong,2013.0,Yongsan-gu,1890.0,10019.0,5.3,2077.0,11010.0,25745.0,42.77
Wonhyoro 1(il)-dong,2013.0,Yongsan-gu,1725.0,8110.0,4.7,2924.0,13746.0,22041.0,62.37
Hangangno-dong,2013.0,Yongsan-gu,4988.0,33136.0,6.64,1720.0,11426.0,5613.0,203.58
Hannam-dong,2013.0,Yongsan-gu,1660.0,15937.0,9.6,551.0,5295.0,8318.0,63.65
Wangsimni 2(i)-dong,2013.0,Seongdong-gu,746.0,1926.0,2.58,1820.0,4698.0,41778.0,11.24
Majang-dong,2013.0,Seongdong-gu,3146.0,10974.0,3.49,2968.0,10353.0,24044.0,43.06
Sageun-dong,2013.0,Seongdong-gu,963.0,9219.0,9.57,868.0,8305.0,10581.0,78.49
Haengdang 1(il)-dong,2013.0,Seongdong-gu,1400.0,8526.0,6.09,2373.0,14451.0,30180.0,47.88
Haengdang 2(i)-dong,2013.0,Seongdong-gu,571.0,2107.0,3.69,1360.0,5017.0,63731.0,7.87
Eungbong-dong,2013.0,Seongdong-gu,384.0,1024.0,2.67,674.0,1796.0,30474.0,5.9
Geumho 1(il)-ga-dong,2013.0,Seongdong-gu,571.0,1658.0,2.9,1241.0,3604.0,32224.0,11.19
Geumho 4(sa)-ga-dong,2013.0,Seongdong-gu,616.0,1963.0,3.19,733.0,2337.0,18138.0,12.88
