Dong,사업_사업체현황종사자규모별_Gu_Gu_Gu,사업_사업체현황종사자규모별_합계_사업체수_사업체수,사업_사업체현황종사자규모별_합계_사업체수_여성대표자,사업_사업체현황종사자규모별_합계_종사자수_계,사업_사업체현황종사자규모별_합계_종사자수_남,사업_사업체현황종사자규모별_합계_종사자수_여,사업_사업체현황종사자규모별_1~4명_사업체수_사업체수,사업_사업체현황종사자규모별_1~4명_종사자수_종사자수,사업_사업체현황종사자규모별_5~9명_사업체수_사업체수,사업_사업체현황종사자규모별_5~9명_종사자수_종사자수,사업_사업체현황종사자규모별_10~19명_사업체수_사업체수,사업_사업체현황종사자규모별_10~19명_종사자수_종사자수,사업_사업체현황종사자규모별_20~49명_사업체수_사업체수,사업_사업체현황종사자규모별_20~49명_종사자수_종사자수,사업_사업체현황종사자규모별_50~99명_사업체수_사업체수,사업_사업체현황종사자규모별_50~99명_종사자수_종사자수,사업_사업체현황종사자규모별_100~299명_사업체수_사업체수,사업_사업체현황종사자규모별_100~299명_종사자수_종사자수,사업_사업체현황종사자규모별_300~499명_사업체수_사업체수,사업_사업체현황종사자규모별_300~499명_종사자수_종사자수,사업_사업체현황종사자규모별_500~999명_사업체수_사업체수,사업_사업체현황종사자규모별_500~999명_종사자수_종사자수,"사업_사업체현황종사자규모별_1,000명 이상_사업체수_사업체수","사업_사업체현황종사자규모별_1,000명 이상_종사자수_종사자수"
Guro 5(o)-dong,Guro-gu,4619.0,1255.0,24401.0,12768.0,11633.0,3968.0,6458.0,388.0,2431.0,122.0,1609.0,67,1981,39,2774,28,4907,5,1828,1,563,1,1850
Gocheok 1(il)-dong,Guro-gu,2456.0,636.0,7829.0,4694.0,3135.0,2183.0,3458.0,176.0,1111.0,63.0,818.0,19,570,10,772,4,725,1,375,-,-,-,-
Gocheok 2(i)-dong,Guro-gu,1155.0,515.0,3432.0,1624.0,1808.0,1006.0,1702.0,105.0,671.0,27.0,341.0,11,291,6,427,-,-,-,-,-,-,-,-
Gaebong 2(i)-dong,Guro-gu,1170.0,421.0,2703.0,1317.0,1386.0,1061.0,1574.0,72.0,475.0,28.0,367.0,8,223,1,64,-,-,-,-,-,-,-,-
Gaebong 3(sam)-dong,Guro-gu,1002.0,374.0,3803.0,2174.0,1629.0,916.0,1332.0,57.0,380.0,15.0,200.0,6,160,4,296,3,384,-,-,-,-,1,1051
Oryu 1(il)-dong,Guro-gu,1080.0,414.0,4353.0,2114.0,2239.0,903.0,1575.0,115.0,714.0,43.0,580.0,11,319,5,384,2,376,1,405,-,-,-,-
Oryu 2(i)-dong,Guro-gu,1406.0,439.0,6306.0,4013.0,2293.0,1191.0,1924.0,123.0,761.0,53.0,701.0,22,591,10,692,5,819,2,818,-,-,-,-
Sugung-dong,Guro-gu,1091.0,316.0,5602.0,3667.0,1935.0,885.0,1418.0,117.0,753.0,46.0,610.0,23,707,14,983,5,821,1,310,-,-,-,-
Garibong-dong,Guro-gu,1032.0,455.0,2877.0,1238.0,1639.0,979.0,1705.0,26.0,164.0,12.0,146.0,9,274,4,289,2,299,-,-,-,-,-,-
Guro 2(i)-dong,Guro-gu,7577.0,1629.0,25793.0,15750.0,10043.0,6627.0,12220.0,716.0,4403.0,162.0,2019.0,55,1430,9,608,4,714,1,351,-,-,3,4048
Gaebong 1(il)-dong,Guro-gu,1772.0,636.0,5381.0,2719.0,2662.0,1542.0,2427.0,155.0,985.0,45.0,602.0,21,612,7,469,2,286,-,-,-,-,-,-
Gasan-dong,Geumcheon-gu,11813.0,2346.0,140007.0,91899.0,48108.0,6143.0,14186.0,2761.0,18018.0,1588.0,21007.0,904,27082,242,16326,149,23850,11,4559,9,6392,6,8587
Doksan 1(il)-dong,Geumcheon-gu,3233.0,934.0,18814.0,11888.0,6926.0,2378.0,4225.0,477.0,3110.0,198.0,2686.0,132,3800,28,1802,20,3191,-,-,-,-,-,-
Doksan 2(i)-dong,Geumcheon-gu,1237.0,428.0,3323.0,1690.0,1633.0,1113.0,1750.0,76.0,497.0,35.0,449.0,9,207,1,58,3,362,-,-,-,-,-,-
Doksan 3(sam)-dong,Geumcheon-gu,2226.0,806.0,8511.0,4517.0,3994.0,1918.0,2926.0,183.0,1154.0,89.0,1191.0,17,471,13,862,5,631,-,-,-,-,1,1276
Doksan 4(sa)-dong,Geumcheon-gu,1060.0,429.0,3096.0,1531.0,1565.0,950.0,1442.0,72.0,441.0,27.0,357.0,5,152,4,272,1,102,1,330,-,-,-,-
